chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
jfreechart\src\main\java\org\jfree\chart\urls\StandardXYURLGenerator.java,StandardXYURLGenerator.java,140,82,0.585714,14,0.041837
jfreechart\src\main\java\org\jfree\chart\urls\TimeSeriesURLGenerator.java,TimeSeriesURLGenerator.java,183,93,0.508197,18,0.028233
jfreechart\src\main\java\org\jfree\chart\urls\StandardPieURLGenerator.java,StandardPieURLGenerator.java,151,82,0.543046,14,0.038789
jfreechart\src\main\java\org\jfree\chart\urls\StandardXYZURLGenerator.java,StandardXYZURLGenerator.java,60,51,0.85,2,0.425
jfreechart\src\main\java\org\jfree\chart\urls\CustomCategoryURLGenerator.java,CustomCategoryURLGenerator.java,179,91,0.50838,21,0.024209
jfreechart\src\main\java\org\jfree\chart\urls\StandardCategoryURLGenerator.java,StandardCategoryURLGenerator.java,179,94,0.52514,13,0.040395
jfreechart\src\main\java\org\jfree\chart\util\PaintAlpha.java,PaintAlpha.java,355,225,0.633803,14,0.045272
jfreechart\src\main\java\org\jfree\chart\util\ExportUtils.java,ExportUtils.java,211,99,0.469194,10,0.046919
jfreechart\src\main\java\org\jfree\chart\util\StringUtils.java,StringUtils.java,87,62,0.712644,6,0.118774
jfreechart\src\main\java\org\jfree\chart\util\package-info.java,package-info.java,4,3,0.75,0,∞
jfreechart\src\main\java\org\jfree\chart\util\AttrStringUtils.java,AttrStringUtils.java,299,117,0.391304,22,0.017787
jfreechart\src\main\java\org\jfree\chart\util\ShadowGenerator.java,ShadowGenerator.java,68,61,0.897059,1,0.897059
jfreechart\src\main\java\org\jfree\chart\util\DefaultShadowGenerator.java,DefaultShadowGenerator.java,284,126,0.443662,22,0.020166
jfreechart\src\main\java\org\jfree\chart\util\GradientPaintTransformer.java,GradientPaintTransformer.java,47,41,0.87234,1,0.87234
jfreechart\src\main\java\org\jfree\chart\util\GradientPaintTransformType.java,GradientPaintTransformType.java,40,33,0.825,1,0.825
jfreechart\src\main\java\org\jfree\chart\util\StandardGradientPaintTransformer.java,StandardGradientPaintTransformer.java,156,77,0.49359,16,0.030849
jfreechart\src\main\java\org\jfree\chart\util\DirectionalGradientPaintTransformer.java,DirectionalGradientPaintTransformer.java,125,77,0.616,5,0.1232
jfreechart\src\main\java\org\jfree\chart\block\Block.java,Block.java,101,88,0.871287,1,0.871287
jfreechart\src\main\java\org\jfree\chart\block\Size2D.java,Size2D.java,149,90,0.604027,17,0.035531
jfreechart\src\main\java\org\jfree\chart\block\BlockFrame.java,BlockFrame.java,60,51,0.85,1,0.85
jfreechart\src\main\java\org\jfree\chart\block\ColorBlock.java,ColorBlock.java,175,103,0.588571,11,0.053506
jfreechart\src\main\java\org\jfree\chart\block\EmptyBlock.java,EmptyBlock.java,111,78,0.702703,6,0.117117
jfreechart\src\main\java\org\jfree\chart\block\LabelBlock.java,LabelBlock.java,383,204,0.532637,36,0.014795
jfreechart\src\main\java\org\jfree\chart\block\LineBorder.java,LineBorder.java,214,96,0.448598,19,0.02361
jfreechart\src\main\java\org\jfree\chart\block\Arrangement.java,Arrangement.java,68,61,0.897059,1,0.897059
jfreechart\src\main\java\org\jfree\chart\block\BlockBorder.java,BlockBorder.java,214,113,0.528037,19,0.027791
jfreechart\src\main\java\org\jfree\chart\block\BlockParams.java,BlockParams.java,125,95,0.76,8,0.095
jfreechart\src\main\java\org\jfree\chart\block\BlockResult.java,BlockResult.java,72,57,0.791667,4,0.197917
jfreechart\src\main\java\org\jfree\chart\block\package-info.java,package-info.java,4,3,0.75,0,∞
jfreechart\src\main\java\org\jfree\chart\block\AbstractBlock.java,AbstractBlock.java,585,326,0.557265,42,0.013268
jfreechart\src\main\java\org\jfree\chart\block\BlockContainer.java,BlockContainer.java,254,128,0.503937,28,0.017998
jfreechart\src\main\java\org\jfree\chart\block\FlowArrangement.java,FlowArrangement.java,411,178,0.43309,41,0.010563
jfreechart\src\main\java\org\jfree\chart\block\GridArrangement.java,GridArrangement.java,408,166,0.406863,36,0.011302
jfreechart\src\main\java\org\jfree\chart\block\BorderArrangement.java,BorderArrangement.java,511,130,0.254403,76,0.003347
jfreechart\src\main\java\org\jfree\chart\block\CenterArrangement.java,CenterArrangement.java,300,161,0.536667,27,0.019877
jfreechart\src\main\java\org\jfree\chart\block\ColumnArrangement.java,ColumnArrangement.java,356,150,0.421348,38,0.011088
jfreechart\src\main\java\org\jfree\chart\block\EntityBlockParams.java,EntityBlockParams.java,54,50,0.925926,1,0.925926
jfreechart\src\main\java\org\jfree\chart\block\EntityBlockResult.java,EntityBlockResult.java,53,48,0.90566,1,0.90566
